Q,A
동 생산성 향상에 대한 관심이 높아지고 있다,동 생산성 향상에 대한 관심이 높아지고 있습니다
대한 비율이다,대한 비율입니다
이 높다는 연구 결과가 많이 있다,이 높다는 연구 결과가 많이 있습니다
는 7번째로 3만 달러를 달성하였다,는 7번째로 3만 달러를 달성하였습니다
가설을 설정하였다,가설을 설정하였습니다
결정자의 평가이다,결정자의 평가입니다
업자에 대한 내용이 주가 되고 있다,업자에 대한 내용이 주가 되고 있습니다
소비자 후생에 기여하는 결과를 얻다,소비자 후생에 기여하는 결과를 얻입니다
된 연도별 법인세율은 아래 표와 같다,된 연도별 법인세율은 아래 표와 같습니다
하지 않다,하지 않습니다
간접적으로 진단하려는 시도도 보인다,간접적으로 진단하려는 시도도 보입니다
할 타당성과 필요성이 자연스럽게 드러난다,할 타당성과 필요성이 자연스럽게 드러났습니다
 많았기 때문이다, 많았기 때문입니다
 구상은 달랐다, 구상은 달랐습니다
경험할 가능성이 높았다,경험할 가능성이 높았습니다
수 있다,수 있습니다
에 대한 필요성이 강화되어야 한다는 것이다,에 대한 필요성이 강화되어야 한다는 것입니다
반 지식을 갖출 것이 요구될 것이다,반 지식을 갖출 것이 요구될 것입니다
오필리아적인 태도에 대한 촉구이다,오필리아적인 태도에 대한 촉구입니다
세거래라고 규정한 것에 대해 부과되는 것이다,세거래라고 규정한 것에 대해 부과되는 것입니다
리가 위로 향하고 있다,리가 위로 향하고 있습니다
터도 자유로워지는 것으로 해석할 수 있다,터도 자유로워지는 것으로 해석할 수 있습니다
 촉진을 더 선호한다는 것이다, 촉진을 더 선호한다는 것입니다
 있는 것 같다, 있는 것 같습니다
필요한 성취기준에 대한 부연설명이다,필요한 성취기준에 대한 부연설명입니다
 법이다, 법입니다
 높다, 높습니다
,
는 읽기 활동을 할 수 있다,는 읽기 활동을 할 수 있습니다
 있다, 있습니다
기의 네 개 집단으로 나누었다,기의 네 개 집단으로 나누었습니다
수강생의 비 율은 그림 7에 표시되어 있다,수강생의 비 율은 그림 7에 표시되어 있습니다
 조세핀이 있었음을 알게 된다, 조세핀이 있었음을 알게 됩니다
어 줄 좋은 영양분이 될 것이다,어 줄 좋은 영양분이 될 것입니다
끼고 궁금한 점에 대해 작성되었다,끼고 궁금한 점에 대해 작성되었습니다
다,습니다
전 Veda 성전에서 찾을 수 있다,전 Veda 성전에서 찾을 수 있습니다
 청약자에게 도달하는 때에 효력이 발생한다, 청약자에게 도달하는 때에 효력이 발생합니다
료기술로 인해 질병의 공포에서 해방되었다,료기술로 인해 질병의 공포에서 해방되었습니다
 지식이다, 지식입니다
기업 주가 선정되었다,기업 주가 선정되었습니다
 금리에 파급된다, 금리에 파급됩니다
대 이익은 이에 해당한다 할 것이다,대 이익은 이에 해당한다 할 것입니다
을 비교한다,을 비교합니다
 갖게 된다, 갖게 됩니다
소가 크게 작용한다,소가 크게 작용합니다
와 가르칠 수 있는 경험을 동시에 제공한다,와 가르칠 수 있는 경험을 동시에 제공합니다
 의심할 만한 사정이 없다고 판단하였다, 의심할 만한 사정이 없다고 판단하였습니다
건비 비중이 높아지고 있는 상황이다,건비 비중이 높아지고 있는 상황입니다
 정부의 약속과 법률을 신뢰하여 투자하였다, 정부의 약속과 법률을 신뢰하여 투자하였습니다
 조리원들에 대한 환경적 불만이 커지고 있다, 조리원들에 대한 환경적 불만이 커지고 있습니다
게 지나친 부담이 되어서도 안 된다,게 지나친 부담이 되어서도 안 됩니다
루어지지 않고 있다는 데 있다,루어지지 않고 있다는 데 있습니다
나올 가능성이 더 큰가,나올 가능성이 더 큰가
세기 초 커피 금지령은 폐지되었다,세기 초 커피 금지령은 폐지되었습니다
적인 변화를 보이고 있다,적인 변화를 보이고 있습니다
니다,닙니다
있음을 시사한다,있음을 시사합니다
행성과 수많은 위성을 탐사하는 것이었다,행성과 수많은 위성을 탐사하는 것이었습니다
동결로 하향 조정되었다,동결로 하향 조정되었습니다
효과 및 지역적 특성을 통제한 모형이다,효과 및 지역적 특성을 통제한 모형입니다
 위하여 적합도를 평가하였다, 위하여 적합도를 평가하였습니다
여 산출할 수 있다,여 산출할 수 있습니다
제로서 기능함을 알 수 있다,제로서 기능함을 알 수 있습니다
식으로 이끌어가 전형화된 멜로디를 만들어낸다,식으로 이끌어가 전형화된 멜로디를 만들어냅니다
 일과 동일하다고 말할 수 있다, 일과 동일하다고 말할 수 있습니다
한다,합니다
당한 금전적 인센티브를 지급하였다,당한 금전적 인센티브를 지급하였습니다
필요성이 없다,필요성이 없습니다
문제점을 내재하고 있는 것임을 지적하고 있다,문제점을 내재하고 있는 것임을 지적하고 있습니다
준을 계산할 때 공제하지 아니한다,준을 계산할 때 공제하지 아니합니다
 평가를 받았다, 평가를 받았습니다
 등이 차별화되어 있는 특성을 가지고 있다, 등이 차별화되어 있는 특성을 가지고 있습니다
과 이전에 관한 규정을 가지고 있다,과 이전에 관한 규정을 가지고 있습니다
클 확률은 얼마인가,클 확률은 얼마인가
를 그대로 발언한 것으로도 볼 수 있다,를 그대로 발언한 것으로도 볼 수 있습니다
을 초과하는 수익률을 기대할 수 있다,을 초과하는 수익률을 기대할 수 있습니다
질이 사용자 만족도에 영향을 줄 수 있다,질이 사용자 만족도에 영향을 줄 수 있습니다
그는 소송을 제기하지 않을 것이다,그는 소송을 제기하지 않을 것입니다
 상호협력 방안이 구축되어야 한다, 상호협력 방안이 구축되어야 합니다
방의 생각과 감정을 이해하는 것이 핵심이다,방의 생각과 감정을 이해하는 것이 핵심입니다
것은 자아를 밝혀 갖는 것과 같다,것은 자아를 밝혀 갖는 것과 같습니다
 공간을 형성한다, 공간을 형성합니다
어 있지 않았다,어 있지 않았습니다
,
 효과의 강도 차이를 비교하였다, 효과의 강도 차이를 비교하였습니다
정하게 될 것이다,정하게 될 것입니다
로 규정하고 있는 것이 아니다,로 규정하고 있는 것이 아닙니다
 바로 보충성의 원칙이다, 바로 보충성의 원칙입니다
적 대상으로서 추론의 수단으로 기능하였다,적 대상으로서 추론의 수단으로 기능하였습니다
키는 것 이상의 일을 수행해야만 한다,키는 것 이상의 일을 수행해야만 합니다
수 있다,수 있습니다
에 대해 토론을 촉진하였다,에 대해 토론을 촉진하였습니다
사학적 질문이다,사학적 질문입니다
펴보기로 한다,펴보기로 합니다
멸한다,멸합니다
적할 컨테이너 총 중량을 계량하고 있다,적할 컨테이너 총 중량을 계량하고 있습니다
만들어내기도 한다,만들어내기도 합니다
모호함을 없애주지는 않는다,모호함을 없애주지는 않습니다
있다,있습니다
,니다
정하고 있다,정하고 있습니다
아래와 같은 규정을 두고 있다,아래와 같은 규정을 두고 있습니다
 책정하도록 하고 있다, 책정하도록 하고 있습니다
 그 뜻을 현실에서 펼치지는 못하였다, 그 뜻을 현실에서 펼치지는 못하였습니다
 증가하면서 의료이용의 변이가 관찰되었다, 증가하면서 의료이용의 변이가 관찰되었습니다
 포물선 위에 놓여질 것이다, 포물선 위에 놓여질 것입니다
대해 어떤 선택을 하고 변화하는가,대해 어떤 선택을 하고 변화하는가
 수 있다, 수 있습니다
 송신을 방송으로 보지 않다, 송신을 방송으로 보지 않습니다
유지된다,유지됩니다
에 시간의 의미를 약화시킨다,에 시간의 의미를 약화시킵니다
하고 있었다,하고 있었습니다
 어떠한 언동도 표시할 수 없다, 어떠한 언동도 표시할 수 없습니다
이 당면한 가장 큰 어려움으로 나타났다,이 당면한 가장 큰 어려움으로 나타났습니다
주민의 지위도 법적으로 불완전할 수밖에 없다,주민의 지위도 법적으로 불완전할 수밖에 없습니다
적에 대해서는 두 가지 견해가 존재한다,적에 대해서는 두 가지 견해가 존재합니다
고 해석은 표현에 의해 실제적으로 완성된다,고 해석은 표현에 의해 실제적으로 완성됩니다
예방이 필요하다,예방이 필요합니다
 신원조사의 90 담당하고 있다, 신원조사의 90 담당하고 있습니다
번 비밀편지이다,번 비밀편지입니다
크기가 증가하기 때문이다,크기가 증가하기 때문입니다
 발전시킬 수 있기를 희망한다, 발전시킬 수 있기를 희망합니다
 감각은 나를 소름 끼치고 전율하게 만든다, 감각은 나를 소름 끼치고 전율하게 만듭니다
대주택에 대하여는 우선분양제도가 폐지되었다,대주택에 대하여는 우선분양제도가 폐지되었습니다
 이러한 사항이 영향을 미쳐서는 아니 된다, 이러한 사항이 영향을 미쳐서는 아니 됩니다
면 자세 등이 측정 가능하다,면 자세 등이 측정 가능합니다
증한 결과를 나타낸다,증한 결과를 나타냅니다
이었다,이었습니다
 기원전 1세기경에 개착되었다, 기원전 1세기경에 개착되었습니다
 가산금을 징수하지 않는다, 가산금을 징수하지 않습니다
게재해야 한다,게재해야 합니다
용의 유사성이 매우 높다,용의 유사성이 매우 높습니다
대지사용권도 그에 따른다고 규정하고 있다,대지사용권도 그에 따른다고 규정하고 있습니다
,니다
소양교육 여가활동도 언급되었다,소양교육 여가활동도 언급되었습니다
한 연구는 다수 진행되었다,한 연구는 다수 진행되었습니다
적인 영향을 줄 수 있다,적인 영향을 줄 수 있습니다
에 이루어진 것을 말하며 계약서가 그 예이다,에 이루어진 것을 말하며 계약서가 그 예입니다
 있어서 관심을 기울여야 할 초점이 된다, 있어서 관심을 기울여야 할 초점이 됩니다
시민의회는 한계를 가지고 있다,시민의회는 한계를 가지고 있습니다
 교습 없이 읽기에는 너무 기호화되어 버렸다, 교습 없이 읽기에는 너무 기호화되어 버렸습니다
으로 바라보기 때문에 생긴다,으로 바라보기 때문에 생깁니다
본격화했다,본격화했습니다
 이해를 해야 하기 때문이다, 이해를 해야 하기 때문입니다
 영양분을 가져온다, 영양분을 가져옵니다
는지에 대한 고지는 들은 바 없다,는지에 대한 고지는 들은 바 없습니다
일부 제거할 수 있게 되었다,일부 제거할 수 있게 되었습니다
다,니다
 때문이다, 때문입니다
않는다,않습니다
인 속성이다,인 속성입니다
인 것이 아니라 보편성을 띠고 있다,인 것이 아니라 보편성을 띠고 있습니다
로 보아 모회사에 책임을 부과하는 것이다,로 보아 모회사에 책임을 부과하는 것입니다
 대기 중에 배출한다, 대기 중에 배출합니다
방법을 정하고 있다,방법을 정하고 있습니다
정책임을 명확히 하기 위한 취지를 담고 있다,정책임을 명확히 하기 위한 취지를 담고 있습니다
육면체 물의 무게이다,육면체 물의 무게입니다
는 데 따르는 문제도 제기된다,는 데 따르는 문제도 제기됩니다
되어야 한다,되어야 합니다
극 작업에 적용시켰다,극 작업에 적용시켰습니다
벽한 속임수가 될 수도 있다,벽한 속임수가 될 수도 있습니다
 코를 사로 잡는다, 코를 사로 잡는입니다
수는 없을 것이다,수는 없을 것입니다
이 필요하다,이 필요합니다
식의 발현 양상을 몇 가지 추출할 수 있다,식의 발현 양상을 몇 가지 추출할 수 있습니다
즉 플라세보를 투여한다,즉 플라세보를 투여합니다
고 햇볕이 잘 드는 호텔이었다,고 햇볕이 잘 드는 호텔이었습니다
 돕는 것이 목표이다, 돕는 것이 목표입니다
댓값이 나온다,댓값이 나옵니다
제를 하기 곤란한 영역이라고 할 수 있다,제를 하기 곤란한 영역이라고 할 수 있습니다
사안에 해당한다,사안에 해당합니다
으로 구분하여 분석을 수행하였다,으로 구분하여 분석을 수행하였습니다
비해 높은 상태를 유지하고 있다,비해 높은 상태를 유지하고 있습니다
 중국은 65로 내다봤다, 중국은 65로 내다봤습니다
씨로 세로로 적고 있다,씨로 세로로 적고 있습니다
만큼 작지는 않았다,만큼 작지는 않았습니다
다 많이 활동하던 때였다,다 많이 활동하던 때였습니다
 정하여 상대매매로 처분하는 것도 가능하다, 정하여 상대매매로 처분하는 것도 가능합니다
게 규율할 필요가 있다,게 규율할 필요가 있습니다
 얻고 누가 이익을 잃는지를 탐구하게 된다, 얻고 누가 이익을 잃는지를 탐구하게 됩니다
 지침을 윤회론은 제공해 주고 있다, 지침을 윤회론은 제공해 주고 있습니다
지를 밝히었다,지를 밝히었습니다
원의 역할이 얼마나 동등한지에 있다,원의 역할이 얼마나 동등한지에 있습니다
압력 차이와 연관시킨다,압력 차이와 연관시킵니다
다,습니다
1876년에 비로소 기독교로 개종하였다,1876년에 비로소 기독교로 개종하였습니다
 등에 따라 수준의 차이를 나타내게 된다, 등에 따라 수준의 차이를 나타내게 됩니다
 있게 되었다, 있게 되었습니다
등과는 차이가 있다,등과는 차이가 있습니다
 생명체에 적용된다, 생명체에 적용됩니다
거하는 주장을 금지하고 있지 않다,거하는 주장을 금지하고 있지 않습니다
내용은 2007년 한글을 사용하여 전사하였다,내용은 2007년 한글을 사용하여 전사하였습니다
타야를 즐기는 수밖에 없었다,타야를 즐기는 수밖에 없었습니다
한 것으로 나타났다,한 것으로 나타났습니다
관계를 소멸시킬 수 있다,관계를 소멸시킬 수 있습니다
 측면에서도 상당한 효과를 기대할 수 있다, 측면에서도 상당한 효과를 기대할 수 있습니다
소프트웨어 교육을 위한 시사점을 도출하였다,소프트웨어 교육을 위한 시사점을 도출하였습니다
기가 어려웠습니다,기가 어려웠습니다
다,니다
가의 교육을 받을 필요가 생기게 된다,가의 교육을 받을 필요가 생기게 됩니다
 돌아보자, 돌아봅시다
를 제시하고 있다,를 제시하고 있습니다
제사업은 예금자 보호법의 적용대상이 아니다,제사업은 예금자 보호법의 적용대상이 아닙니다
게 나타나 유효한 문항으로 볼 수 있다,게 나타나 유효한 문항으로 볼 수 있습니다
어떻게 달라질 것인지를 개별적으로 분석했다,어떻게 달라질 것인지를 개별적으로 분석했습니다
성을 기반으로 한다,성을 기반으로 합니다
배급시스템에 심각한 무리를 준다,배급시스템에 심각한 무리를 줍니다
 선행연구에 기초하여 설정하였다, 선행연구에 기초하여 설정하였습니다
이러한 권리를 행사할 수 있다,이러한 권리를 행사할 수 있습니다
1년 이내의 기간 동안 휴직이 가능하다,1년 이내의 기간 동안 휴직이 가능합니다
가지 측면에서 기존 연구와 차별성이 있다,가지 측면에서 기존 연구와 차별성이 있습니다
P에서도 해결 과정을 주도한다,P에서도 해결 과정을 주도합니다
 광범위한 지식이 필요하다, 광범위한 지식이 필요합니다
수의 중앙은 일반적으로 35 이다,수의 중앙은 일반적으로 35 입니다
무런 진화도 있을 수 없다,무런 진화도 있을 수 없습니다
압류와 가압류를 구별하지 않고 검토하였다,압류와 가압류를 구별하지 않고 검토하였습니다
서 법 교육이 이루어지고 있음을 알 수 있다,서 법 교육이 이루어지고 있음을 알 수 있습니다
있으면 기판력이 있다,있으면 기판력이 있습니다
 필요하다, 필요합니다
가장 큰 어려움이기도 하다,가장 큰 어려움이기도 합니다
 희극 이론들과 구별되는 지점이다, 희극 이론들과 구별되는 지점입니다
 보여주었다, 보여주었습니다
이다,입니다
